provinsi,komoditas,h,metode,mape,mae,n,mae_naif,mase
Sulawesi Tenggara,Beras,2,hanyut,2.410150821106166,376.8939393939397,22.0,277.27272727272725,1.359
Sulawesi Tenggara,Beras,2,musiman,5.544359328401596,865.9090909090909,22.0,277.27272727272725,3.123
Sulawesi Tenggara,Beras,2,naif,1.759542218104523,277.27272727272725,22.0,277.27272727272725,1.0
Sulawesi Tenggara,Beras,3,campuran,2.8336235689425835,448.8095238095238,21.0,397.6190476190476,1.129
Sulawesi Tenggara,Beras,3,hanyut,3.4965040827118967,548.8095238095239,21.0,397.6190476190476,1.38
Sulawesi Tenggara,Beras,3,musiman,5.40618853708996,847.6190476190476,21.0,397.6190476190476,2.132
Sulawesi Tenggara,Beras,3,naif,2.5092141778533703,397.6190476190476,21.0,397.6190476190476,1.0
Sulawesi Tenggara,Cabai Besar,1,campuran,25.083418028702425,13240.217391304348,23.0,15200.0,0.871
Sulawesi Tenggara,Cabai Besar,1,hanyut,27.75304297598753,16154.52898550725,23.0,15200.0,1.063
Sulawesi Tenggara,Cabai Besar,1,musiman,35.5375204421909,17602.17391304348,23.0,15200.0,1.158
Sulawesi Tenggara,Cabai Besar,1,naif,26.106397690599486,15200.0,23.0,15200.0,1.0
Sulawesi Tenggara,Cabai Besar,2,campuran,25.754175571965593,13900.0,22.0,17745.454545454544,0.783
Sulawesi Tenggara,Cabai Besar,2,hanyut,33.801622288075535,19515.909090909092,22.0,17745.454545454544,1.1
Sulawesi Tenggara,Cabai Besar,2,musiman,36.84624582000969,18272.727272727272,22.0,17745.454545454544,1.03
Sulawesi Tenggara,Cabai Besar,2,naif,30.677151245959212,17745.454545454544,22.0,17745.454545454544,1.0
Sulawesi Tenggara,Cabai Besar,3,campuran,33.04055004598131,17897.619047619046,21.0,21000.0,0.852
Sulawesi Tenggara,Cabai Besar,3,hanyut,43.123386855453155,24516.071428571428,21.0,21000.0,1.167
Sulawesi Tenggara,Cabai Besar,3,musiman,38.30563746823978,19052.380952380954,21.0,21000.0,0.907
Sulawesi Tenggara,Cabai Besar,3,naif,36.25659003157392,21000.0,21.0,21000.0,1.0
Sulawesi Tenggara,Cabai Rawit,1,campuran,24.134498703389724,14711.95652173913,23.0,13084.782608695652,1.124
Sulawesi Tenggara,Cabai Rawit,1,hanyut,21.089139111619808,13976.44927536232,23.0,13084.782608695652,1.068
Sulawesi Tenggara,Cabai Rawit,1,musiman,40.63989460322979,24143.478260869564,23.0,13084.782608695652,1.845
Sulawesi Tenggara,Cabai Rawit,1,naif,19.95207023984755,13084.782608695652,23.0,13084.782608695652,1.0
Sulawesi Tenggara,Cabai Rawit,2,campuran,26.873704456619947,16395.454545454544,22.0,16143.181818181818,1.016
Sulawesi Tenggara,Cabai Rawit,2,hanyut,29.59114719528281,19429.92424242424,22.0,16143.181818181818,1.204
Sulawesi Tenggara,Cabai Rawit,2,musiman,41.095696862560274,24388.636363636364,22.0,16143.181818181818,1.511
Sulawesi Tenggara,Cabai Rawit,2,naif,24.3130184558122,16143.181818181818,22.0,16143.181818181818,1.0
Sulawesi Tenggara,Cabai Rawit,3,campuran,30.024601227283803,18685.714285714286,21.0,19009.52380952381,0.983
Sulawesi Tenggara,Cabai Rawit,3,hanyut,34.580129119157895,23073.214285714286,21.0,19009.52380952381,1.214
Sulawesi Tenggara,Cabai Rawit,3,musiman,42.19020094596262,25161.904761904763,21.0,19009.52380952381,1.324
Sulawesi Tenggara,Cabai Rawit,3,naif,28.925750666314663,19009.52380952381,21.0,19009.52380952381,1.0
Sulawesi Utara,Bawang Merah,1,campuran,11.450143189376654,5854.347826086957,23.0,5978.260869565217,0.979
Sulawesi Utara,Bawang Merah,1,hanyut,12.853549682174895,6296.920289855073,23.0,5978.260869565217,1.053
Sulawesi Utara,Bawang Merah,1,musiman,15.590609305185668,8108.695652173913,23.0,5978.260869565217,1.356
Sulawesi Utara,Bawang Merah,1,naif,12.14791097581196,5978.260869565217,23.0,5978.260869565217,1.0
Sulawesi Utara,Bawang Merah,2,campuran,13.845165618471219,7122.727272727273,22.0,8120.454545454545,0.877
Sulawesi Utara,Bawang Merah,2,hanyut,18.306579925828594,8874.242424242424,22.0,8120.454545454545,1.093
Sulawesi Utara,Bawang Merah,2,musiman,16.24650689383537,8461.363636363636,22.0,8120.454545454545,1.042
Sulawesi Utara,Bawang Merah,2,naif,16.551036736644818,8120.454545454545,22.0,8120.454545454545,1.0
Sulawesi Utara,Bawang Merah,3,campuran,12.25306908388199,6516.666666666667,21.0,7890.476190476191,0.826
Sulawesi Utara,Bawang Merah,3,hanyut,18.30187000381407,9150.0,21.0,7890.476190476191,1.16
Sulawesi Utara,Bawang Merah,3,musiman,16.31592472714343,8614.285714285714,21.0,7890.476190476191,1.092
Sulawesi Utara,Bawang Merah,3,naif,15.597133315682013,7890.476190476191,21.0,7890.476190476191,1.0
Sulawesi Utara,Beras,1,campuran,3.6748431110812088,557.6086956521739,23.0,289.1304347826087,1.929
Sulawesi Utara,Beras,1,hanyut,2.1937329949722826,333.69565217391306,23.0,289.1304347826087,1.154
Sulawesi Utara,Beras,1,musiman,6.937820940518567,1043.4782608695652,23.0,289.1304347826087,3.609
Sulawesi Utara,Beras,1,naif,1.884132994205566,289.1304347826087,23.0,289.1304347826087,1.0
Sulawesi Utara,Beras,2,campuran,3.634523706681115,557.9545454545455,22.0,495.45454545454544,1.126
Sulawesi Utara,Beras,2,hanyut,3.9448506249565507,598.4848484848485,22.0,495.45454545454544,1.208
Sulawesi Utara,Beras,2,musiman,6.67323913373963,1006.8181818181819,22.0,495.45454545454544,2.032
Sulawesi Utara,Beras,2,naif,3.237671167526889,495.45454545454544,22.0,495.45454545454544,1.0
Sulawesi Utara,Beras,3,campuran,3.6365205228293966,564.2857142857143,21.0,695.2380952380952,0.812
Sulawesi Utara,Beras,3,hanyut,5.8615784712092704,891.0714285714286,21.0,695.2380952380952,1.282
Sulawesi Utara,Beras,3,musiman,6.518083528236036,985.7142857142857,21.0,695.2380952380952,1.418
Sulawesi Utara,Beras,3,naif,4.5256640911225965,695.2380952380952,21.0,695.2380952380952,1.0
Sulawesi Utara,Cabai Rawit,1,campuran,36.43475812449347,21315.217391304348,23.0,23997.82608695652,0.888
Sulawesi Utara,Cabai Rawit,1,hanyut,40.99085453331575,24669.202898550724,23.0,23997.82608695652,1.028
Sulawesi Utara,Cabai Rawit,1,musiman,50.53455370532131,28906.521739130436,23.0,23997.82608695652,1.205
Sulawesi Utara,Cabai Rawit,1,naif,40.37293900372404,23997.82608695652,23.0,23997.82608695652,1.0
Sulawesi Utara,Cabai Rawit,2,campuran,33.66625909826892,20271.590909090908,22.0,21488.636363636364,0.943
Sulawesi Utara,Cabai Rawit,2,hanyut,35.94996892518876,23824.621212121212,22.0,21488.636363636364,1.109
Sulawesi Utara,Cabai Rawit,2,musiman,50.75901840668914,29090.909090909092,22.0,21488.636363636364,1.354
Sulawesi Utara,Cabai Rawit,2,naif,33.45293123954499,21488.636363636364,22.0,21488.636363636364,1.0
Sulawesi Utara,Cabai Rawit,3,campuran,43.320673538422966,26283.333333333332,21.0,25392.85714285714,1.035
Sulawesi Utara,Cabai Rawit,3,hanyut,46.444827338999445,30707.14285714286,21.0,25392.85714285714,1.209
Sulawesi Utara,Cabai Rawit,3,musiman,51.63834411559844,29416.666666666668,21.0,25392.85714285714,1.158
Sulawesi Utara,Cabai Rawit,3,naif,39.25485557566194,25392.85714285714,21.0,25392.85714285714,1.0
Sumatera Barat,Bawang Merah,1,campuran,11.758906169819271,4627.173913043478,23.0,4269.565217391304,1.084
Sumatera Barat,Bawang Merah,1,hanyut,11.870340201288302,4536.413043478259,23.0,4269.565217391304,1.062
Sumatera Barat,Bawang Merah,1,musiman,15.87514314813641,6421.739130434783,23.0,4269.565217391304,1.504
Sumatera Barat,Bawang Merah,1,naif,11.220649326568676,4269.565217391304,23.0,4269.565217391304,1.0
Sumatera Barat,Bawang Merah,2,campuran,15.668837765340104,6136.363636363636,22.0,6568.181818181818,0.934
Sumatera Barat,Bawang Merah,2,hanyut,19.077190362829032,7097.727272727273,22.0,6568.181818181818,1.081
Sumatera Barat,Bawang Merah,2,musiman,16.545668040978157,6702.272727272727,22.0,6568.181818181818,1.02
Sumatera Barat,Bawang Merah,2,naif,17.56832868622831,6568.181818181818,22.0,6568.181818181818,1.0
Sumatera Barat,Bawang Merah,3,campuran,14.203378216016832,5651.190476190476,21.0,6607.142857142857,0.855
Sumatera Barat,Bawang Merah,3,hanyut,19.74256521855353,7470.833333333333,21.0,6607.142857142857,1.131
Sumatera Barat,Bawang Merah,3,musiman,15.48472610895917,6454.761904761905,21.0,6607.142857142857,0.977
Sumatera Barat,Bawang Merah,3,naif,17.55353316388185,6607.142857142857,21.0,6607.142857142857,1.0
Sumatera Barat,Beras,1,campuran,2.5471191894365086,461.4130434782609,23.0,130.43478260869566,3.538
Sumatera Barat,Beras,1,hanyut,0.9611345605970852,173.82246376811617,23.0,130.43478260869566,1.333
Sumatera Barat,Beras,1,musiman,4.932618596964403,892.3913043478261,23.0,130.43478260869566,6.842
Sumatera Barat,Beras,1,naif,0.7198413466679537,130.43478260869566,23.0,130.43478260869566,1.0
Sumatera Barat,Beras,2,campuran,2.3384756497040504,425.5681818181818,22.0,236.36363636363637,1.8
Sumatera Barat,Beras,2,hanyut,1.889138347596261,342.23484848484856,22.0,236.36363636363637,1.448
Sumatera Barat,Beras,2,musiman,4.447788269832245,805.6818181818181,22.0,236.36363636363637,3.409
Sumatera Barat,Beras,2,naif,1.3002242060685314,236.36363636363637,22.0,236.36363636363637,1.0
Sumatera Barat,Beras,3,campuran,2.2556870559866926,412.5,21.0,333.3333333333333,1.238
Sumatera Barat,Beras,3,hanyut,2.834703531656732,512.797619047619,21.0,333.3333333333333,1.538
Sumatera Barat,Beras,3,musiman,4.1024846471859755,744.047619047619,21.0,333.3333333333333,2.232
Sumatera Barat,Beras,3,naif,1.8316443054976335,333.3333333333333,21.0,333.3333333333333,1.0
Sumatera Selatan,Bawang Merah,1,campuran,8.529349072165136,3587.5,23.0,3382.608695652174,1.061
Sumatera Selatan,Bawang Merah,1,hanyut,8.740189690867076,3544.6557971014486,23.0,3382.608695652174,1.048
Sumatera Selatan,Bawang Merah,1,musiman,13.529324076083874,5705.434782608696,23.0,3382.608695652174,1.687
Sumatera Selatan,Bawang Merah,1,naif,8.320449972336162,3382.608695652174,23.0,3382.608695652174,1.0
Sumatera Selatan,Bawang Merah,2,campuran,10.07709115003451,4306.25,22.0,4486.363636363636,0.96
Sumatera Selatan,Bawang Merah,2,hanyut,11.786348329724659,4808.901515151514,22.0,4486.363636363636,1.072
Sumatera Selatan,Bawang Merah,2,musiman,13.590574344005038,5812.5,22.0,4486.363636363636,1.296
Sumatera Selatan,Bawang Merah,2,naif,10.899511656693784,4486.363636363636,22.0,4486.363636363636,1.0
Sumatera Selatan,Bawang Merah,3,campuran,10.533582721614145,4470.833333333333,21.0,4992.857142857143,0.895
Sumatera Selatan,Bawang Merah,3,hanyut,13.93172439972075,5668.75,21.0,4992.857142857143,1.135
Sumatera Selatan,Bawang Merah,3,musiman,14.16667134546086,6067.857142857143,21.0,4992.857142857143,1.215
Sumatera Selatan,Bawang Merah,3,naif,12.18185176514269,4992.857142857143,21.0,4992.857142857143,1.0
Sumatera Selatan,Beras,1,campuran,1.7254680130605766,267.39130434782606,23.0,50.0,5.348
Sumatera Selatan,Beras,1,hanyut,0.49886070888151374,77.17391304347818,23.0,50.0,1.543
Sumatera Selatan,Beras,1,musiman,3.357191506362988,519.5652173913044,23.0,50.0,10.391
Sumatera Selatan,Beras,1,naif,0.3215587388159219,50.0,23.0,50.0,1.0
Sumatera Selatan,Beras,2,campuran,1.71755626499063,267.04545454545456,22.0,95.45454545454545,2.798
Sumatera Selatan,Beras,2,hanyut,0.721816934001754,111.74242424242435,22.0,95.45454545454545,1.171
Sumatera Selatan,Beras,2,musiman,3.179758116988249,493.1818181818182,22.0,95.45454545454545,5.167
Sumatera Selatan,Beras,2,naif,0.6124624169973004,95.45454545454545,22.0,95.45454545454545,1.0
Sumatera Selatan,Beras,3,campuran,1.8346730875684614,285.7142857142857,21.0,130.95238095238096,2.182
Sumatera Selatan,Beras,3,hanyut,1.0269825285758256,159.52380952380952,21.0,130.95238095238096,1.218
Sumatera Selatan,Beras,3,musiman,3.1425848825779763,488.0952380952381,21.0,130.95238095238096,3.727
Sumatera Selatan,Beras,3,naif,0.8385239379497391,130.95238095238096,21.0,130.95238095238096,1.0
Sumatera Selatan,Cabai Besar,1,campuran,24.41821277875566,11789.130434782608,23.0,8708.695652173914,1.354
Sumatera Selatan,Cabai Besar,1,hanyut,17.219030191297573,9083.152173913042,23.0,8708.695652173914,1.043
Sumatera Selatan,Cabai Besar,1,musiman,35.25225169791141,16539.130434782608,23.0,8708.695652173914,1.899
Sumatera Selatan,Cabai Besar,1,naif,16.610001831078016,8708.695652173914,23.0,8708.695652173914,1.0
Sumatera Selatan,Cabai Besar,2,campuran,28.174161369310763,13652.272727272728,22.0,12645.454545454546,1.08
Sumatera Selatan,Cabai Besar,2,hanyut,25.420051630990688,13632.954545454542,22.0,12645.454545454546,1.078
Sumatera Selatan,Cabai Besar,2,musiman,35.92414549166675,16895.454545454544,22.0,12645.454545454546,1.336
Sumatera Selatan,Cabai Besar,2,naif,24.11490446003891,12645.454545454546,22.0,12645.454545454546,1.0
Sumatera Selatan,Cabai Besar,3,campuran,32.389303041430914,15817.857142857143,21.0,16595.238095238095,0.953
Sumatera Selatan,Cabai Besar,3,hanyut,37.30816617353256,19664.285714285714,21.0,16595.238095238095,1.185
Sumatera Selatan,Cabai Besar,3,musiman,36.117358769047705,17130.95238095238,21.0,16595.238095238095,1.032
Sumatera Selatan,Cabai Besar,3,naif,31.904661285236237,16595.238095238095,21.0,16595.238095238095,1.0
Sumatera Selatan,Cabai Rawit,1,campuran,25.809218544723915,15060.869565217392,23.0,15369.565217391304,0.98
Sumatera Selatan,Cabai Rawit,1,hanyut,25.584256119703515,15540.76086956522,23.0,15369.565217391304,1.011
Sumatera Selatan,Cabai Rawit,1,musiman,33.24689194607231,19465.217391304348,23.0,15369.565217391304,1.266
Sumatera Selatan,Cabai Rawit,1,naif,25.441004484903175,15369.565217391304,23.0,15369.565217391304,1.0
Sumatera Selatan,Cabai Rawit,2,campuran,29.633896908340425,17694.31818181818,22.0,19356.81818181818,0.914
Sumatera Selatan,Cabai Rawit,2,hanyut,33.01877074538223,20094.31818181818,22.0,19356.81818181818,1.038
Sumatera Selatan,Cabai Rawit,2,musiman,34.3202092450749,20122.727272727272,22.0,19356.81818181818,1.04
Sumatera Selatan,Cabai Rawit,2,naif,31.79862698398906,19356.81818181818,22.0,19356.81818181818,1.0
Sumatera Selatan,Cabai Rawit,3,campuran,34.62951026097416,20432.14285714286,21.0,23145.238095238095,0.883
Sumatera Selatan,Cabai Rawit,3,hanyut,42.116735271970256,25794.64285714286,21.0,23145.238095238095,1.114
Sumatera Selatan,Cabai Rawit,3,musiman,35.243369807739825,20704.761904761905,21.0,23145.238095238095,0.895
Sumatera Selatan,Cabai Rawit,3,naif,38.323486914018915,23145.238095238095,21.0,23145.238095238095,1.0
Sumatera Utara,Bawang Merah,1,campuran,12.109540490834156,5309.782608695652,23.0,6006.521739130435,0.884
Sumatera Utara,Bawang Merah,1,hanyut,14.508300977711693,6313.04347826087,23.0,6006.521739130435,1.051
Sumatera Utara,Bawang Merah,1,musiman,15.886071214976738,6960.869565217391,23.0,6006.521739130435,1.159
Sumatera Utara,Bawang Merah,1,naif,13.822980617492615,6006.521739130435,23.0,6006.521739130435,1.0
Sumatera Utara,Bawang Merah,2,campuran,16.282465650181273,7134.090909090909,22.0,8111.363636363636,0.88
Sumatera Utara,Bawang Merah,2,hanyut,20.70551627766456,8783.712121212122,22.0,8111.363636363636,1.083
Sumatera Utara,Bawang Merah,2,musiman,16.42539358743118,7225.0,22.0,8111.363636363636,0.891
Sumatera Utara,Bawang Merah,2,naif,18.96066333005044,8111.363636363636,22.0,8111.363636363636,1.0
Sumatera Utara,Bawang Merah,3,campuran,16.125401941824148,7077.380952380952,21.0,7676.190476190476,0.922
Sumatera Utara,Bawang Merah,3,hanyut,19.550460571538,8186.9047619047615,21.0,7676.190476190476,1.067
Sumatera Utara,Bawang Merah,3,musiman,16.359648456572994,7302.380952380952,21.0,7676.190476190476,0.951
Sumatera Utara,Bawang Merah,3,naif,18.116052840666228,7676.190476190476,21.0,7676.190476190476,1.0
Sumatera Utara,Beras,1,campuran,2.310479729642503,340.2173913043478,23.0,150.0,2.268
Sumatera Utara,Beras,1,hanyut,1.0598771031166885,154.89130434782618,23.0,150.0,1.033
