komoditas,h,metode_dipakai,mase
Bawang Merah,1,naif,1.021
Bawang Merah,2,campuran,0.896
Bawang Merah,3,campuran,0.889
Beras,1,naif,1.282
Beras,2,naif,1.295
Beras,3,naif,1.345
Cabai Besar,1,naif,1.067
Cabai Besar,2,naif,0.963
Cabai Besar,3,campuran,0.877
Cabai Rawit,1,campuran,0.9
Cabai Rawit,2,campuran,0.823
Cabai Rawit,3,campuran,0.8
